SOURCE ID	EXTRACT ID	SPECIES	Spec_code	LOCATION	REMARKS	WET MASS	MASS EXTRACTED	THEO. H2O	V MeOH/CHCl3	V 10% BHT	Vadd CHCl3	Vadd H2O	Vtot	EXTRACTED	TARE	GROSS	SUSP VOL	CONC	ORG SENT	MASS NORM'D	FAMEs?	AQ ANALYZED	REMARKS	MDO	COLL DEPTH	MTO	COLL TEMP	#VALUE!		ret time ->	10.45	12.25	12.5	14.9	15.2	15.6	18.45	18.65	19.5	20.1	23.3	23.075	23.7-24.2	vol_run	sum_total_area	vol_ideal	pct_sfa	pct_ufa	pct_mufa	pct_pufa	DBI		
						(g)	(g)	(%)	(mL)	(µL)	(mL)	(mL)	(mL)	(MM/DD/YY)	(g)	(g)	(mL)	(mg/mL)	(MM/DD/YY)	(g)		(MM/DD/YY)		(m)	(m)	(˚C)	(˚C)	#VALUE!	quality	quality_code	0	1	0	4	1	0	4	5	1	0	6	0	1	(mL)		(mL)							
sid	eid		spp																					depth_med	depth_col	temp_med	temp_col			qc	C14:0-ME	C16:1-ME	C16:0-ME	C18:4-ME	C18:1-ME	C18:0-ME	C20:4-ME	C20:5-ME	C20:1-ME	C20:0-ME	C22:6-ME	C20-OH	C22:1-ME			vol_ideal	pct_sfa	pct_ufa	pct_mufa	pct_pufa	dbi	C20-OH index	z*t
V3994-D7	JWL0001	Hormiphora californensis	Horm_cali	Lab -80 upper compartment LL quadrant			5.22	95	18.6	24.8	6.2	6.2	36.2	7/11/18	13.356	13.3573	1	1.30	7/11/18	0.0000	N		taken to 1000 msw on same dive. Spiked with cholesterol and used up.	10	268.0	8.52	8.07	-2.428134794		0	8.416	5.982	35.108	0	15.868	11.107	1.083	11.777	2.759	0	7.409		0.491	0.6			54.631	45.369	25.100	20.269	1.328		2162.760
D914-T1	JWL0002	Hormiphora californensis	Horm_cali	Lab -80 upper compartment LL quadrant			3.45	95	12.3	16.4	4.1	4.1	23.9	7/11/18	13.358	13.3633	0.053	100.00	7/11/18	0.0000	N			10	200.0	8.52	8.76	-2.301029996		0	17.059	16.836	18.608	1.223	20.444	4.261	0.332	6.649	5.313	0	3.881		5.393	0.6			39.928	60.072	47.986	10.862	1.107		1752.000
D919-D11	JWL0003	Hormiphora californensis	Horm_cali	Lab -80 upper compartment LL quadrant			3.54	95	12.6	16.8	4.2	4.2	24.6	7/11/18	13.285	13.2864	1	1.40	7/11/18	0.0000	N		taken to 3250 msw on same dive	10	215.0	8.52	8.16	-2.33243846		0	8.44	2.733	28.18	0.824	19.523	8.848	1.273	15.355	4.532	0	8.049		2.243	0.6			45.468	54.532	29.031	24.677	1.625		1754.400
D914-BW1	JWL0004	Beroe cucumis	Bero_cucu	Lab -80 upper compartment LL quadrant			1.45	95	5.2	6.9	1.7	1.7	10.1	7/11/18				#DIV/0!	7/11/18	0.0011	Y		the smaller of 2x BW specimens with the same identifier	200	10.0		12.20	-1		0	6.282	4.57	20.009	14.657	14.657	9.148	2.559	6.033	6.894	2.904	7.14		9.802	0.6			36.638	63.362	34.325	15.032	1.699		122.000
D914-BW1	JWL0005	Beroe cucumis	Bero_cucu	Lab -80 upper compartment LL quadrant			5.84	95	20.8	27.7	6.9	6.9	40.5	7/11/18	13.312	13.3182	6.2	1.00	7/11/18	0.0000	N		the larger of 2x BW specimens with the same identifier	200	10.0		12.20	-1		0	7.11	6.449	22.313	0	15.542	10.051	2.78	4.905	4.776	3.005	15.389		7.678	0.6			42.480	57.520	34.446	23.074	1.624		122.000
D914-D5	JWL0006	red X cydippid	Cydi_redx	Lab -80 upper compartment LL quadrant			0.95	95	3.4	4.5	1.1	1.1	6.6	7/11/18				#DIV/0!	7/11/18	0.0011	Y			675	630.0	3.9	5.39	-2.799340549		0	10.087	14.711	19.467	0.506	21.785	8.404	0.749	5.964	7.72	0	6.771		3.836	0.6			37.958	62.042	48.052	13.484	1.235		3395.700
V3994-D3	JWL0007	red X cydippid	Cydi_redx	Lab -80 upper compartment LL quadrant			0.84	95	3.0	4.0	1.0	1.0	5.8	7/11/18				#DIV/0!	7/11/18	0.0007	Y		sample note says up to 50% addn'al seawater by vol	675	870.0	3.9	4.46	-2.939519253		0	3.329	15.114	18.638	0	45.211	3.924	0.59	2.824	5.204	0	3.92		1.246	0.6			25.891	74.109	66.775	7.334	1.068		3880.200
D918-D12	JWL0008	vermilion lobate	Verm_loba	Lab -80 upper compartment LL quadrant			3.37	95	12.0	16.0	4.0	4.0	23.4	7/11/18				#DIV/0!	7/11/18	0.0003	Y			1200	696.0	2.29	4.97	-2.84260924		4														0.6		#DIV/0!					#DIV/0!		
