id	conc_mass	mass_mol	conc_molar	CAS	roi
C8:0-ME	0.401	158.24	63.45424	111-11-5	1
C10:0-ME	0.401	186.29	74.70229	110-42-9	2
C11:0-ME	0.2	200.32	40.064	1731-86-8	3
C12:0-ME	0.401	214.34	85.95034	111-82-0	4
C13:0-ME	0.2	228.37	45.674	1731-88-0	5
C14:0-ME	0.401	242.4	97.2024	124-10-7	6
C14:1-ME	0.2	240.38	48.076	56219-06-8	7
C15:0-ME	0.2	256.42	51.284	7132-64-1	8
C15:1-ME	0.2	254.41	50.882	90176-52-6	9
C16:0-ME	0.615	270.45	166.32675	112-39-0	10
C16:1-ME	0.201	268.43	53.95443	1120-25-8	11
C17:0-ME	0.2	284.48	56.896	1731-92-6	12
C17:1-ME	0.2	282.46	56.492	75190-82-8	13
C18:0-ME	0.401	298.5	119.6985	112-61-8	14
C18:1(E)-ME	0.201	296.49	178.338735	112-62-9	15
C18:1-ME	0.601	294.47	58.894	2566-97-4	16
C18:2-ME	0.2	294.47	58.894	112-63-0	17
C18:3(6,9,12)-ME	0.2	292.46	58.492	16326-32-2	18
C18:3-ME	0.2	292.46	58.492	301-00-8	19
C20:0-ME	0.401	326.56	130.95056	1120-28-1	20
C20:1-ME	0.2	324.54	64.908	2390-09-2	21
C20:2-ME	0.201	322.53	64.82853	2463-02-07	22
C21:0-ME	0.201	340.58	68.45658	6064-90-0	23
C20:3(8,11,14)-ME	0.199	320.51	63.78149	21061-10-9	24
C20:4-ME	0.2	318.49	63.698	2566-89-4	25
C20:3(11,14,17)-ME	0.201	320.51	64.42251	55682-88-7	26
C22:0-ME	0.401	354.61	142.19861	929-77-1	27
C20:5-ME	0.2	316.48	63.296	2734-47-6	28
C22:1-ME	0.2	352.59	70.518	1120-34-9	29
C22:2-ME	0.201	350.58	70.46658	61012-47-3	30
C23:0-ME	0.2	368.64	73.728	2433-97-8	31
C24:0-ME	0.401	382.66	153.44666	2442-49-1	32
C24:1-ME	0.2	380.65	76.13	2733-88-2	33
C22:6-ME	0.2	342.51	68.502	2566-90-7	34
