order_elute	id	conc_g.per.L	mass_g.per.mol	conc_mol.per.L	CAS
1	C4:0	0.401	102.13	40.95413	623-42-7
2	C6:0	0.401	130.18	52.20218	106-70-7
3	C8:0	0.401	158.24	63.45424	111-11-5
4	C10:0	0.401	186.29	74.70229	110-42-9
5	C11:0	0.2	200.32	40.064	1731-86-8
6	C12:0	0.401	214.34	85.95034	111-82-0
7	C13:0	0.2	228.37	45.674	1731-88-0
8	C14:0	0.401	242.40	97.2024	124-10-7
9	C14:1	0.2	240.38	48.076	56219-06-8
10	C15:0	0.2	256.42	51.284	7132-64-1
11	C15:1	0.2	254.41	50.882	90176-52-6
12	C16:0	0.615	270.45	166.32675	112-39-0
13	C16:1	0.201	268.43	53.95443	1120-25-8
14	C17:0	0.2	284.48	56.896	1731-92-6
15	C17:1	0.2	282.46	56.492	75190-82-8
16	C18:0	0.401	298.50	119.6985	112-61-8
17	C18:1(E)	0.201	296.49	59.59449	1937-62-8
18	C18:1	0.401	296.49	118.89249	112-62-9
19	C18:2(E)	0.2	294.47	58.894	2566-97-4
20	C18:2	0.2	294.47	58.894	112-63-0
21	C20:0	0.401	326.56	130.95056	1120-28-1
22	C18:3(6,9,12)	0.2	292.46	58.492	16326-32-2
23	C20:1	0.2	324.54	64.908	2390-09-2
24	C18:3	0.2	292.46	58.492	301-00-8
25	C21:0	0.201	340.58	68.45658	6064-90-0
26	C20:2	0.201	322.53	64.82853	2463-02-07
27	C22:0	0.401	354.61	142.19861	929-77-1
28	C20:3(8,11,14)	0.199	320.51	63.78149	21061-10-9
29	C22:1	0.2	352.59	70.518	1120-34-9
30	C20:3(11,14,17)	0.201	320.51	64.42251	55682-88-7
31	C23:0	0.2	368.64	73.728	2433-97-8
32	C20:4	0.2	318.49	63.698	2566-89-4
33	C22:2	0.201	350.58	70.46658	61012-47-3
34	C24:0	0.401	382.66	153.44666	2442-49-1
35	C20:5	0.2	316.48	63.296	2734-47-6
36	C24:1	0.2	380.65	76.13	2733-88-2
37	C22:6	0.2	342.51	68.502	2566-90-7
